state	abbr	Lat	Long	population	land_area_sqmi	Total_GDP_USD_2019_Q3	temperature-2020-02-20	temperature-2020-02-21	temperature-2020-02-22	temperature-2020-02-23	temperature-2020-02-24	temperature-2020-02-25	temperature-2020-02-26	temperature-2020-02-27	temperature-2020-02-28	temperature-2020-02-29	temperature-2020-03-01	temperature-2020-03-02	temperature-2020-03-03	temperature-2020-03-04	temperature-2020-03-05	temperature-2020-03-06	temperature-2020-03-07	temperature-2020-03-08	temperature-2020-03-09	temperature-2020-03-10	temperature-2020-03-11	temperature-2020-03-12	temperature-2020-03-13	temperature-2020-03-14	temperature-2020-03-15	temperature-2020-03-16	temperature-2020-03-17	temperature-2020-03-18	temperature-2020-03-19	temperature-2020-03-20	temperature-2020-03-21	temperature-2020-03-22	temperature-2020-03-23	temperature-2020-03-24	temperature-2020-03-25	temperature-2020-03-26	temperature-2020-03-27	temperature-2020-03-28	temperature-2020-03-29	temperature-2020-03-30	temperature-2020-03-31	temperature-2020-04-01	temperature-2020-04-02	temperature-2020-04-03	temperature-2020-04-04	temperature-2020-04-05	temperature-2020-04-06	temperature-2020-04-07	temperature-2020-04-08	temperature-2020-04-09	temperature-2020-04-10	temperature-2020-04-11	march_1_15_temp	march_13_15_temp	march_18_20_temp	humidity-2020-02-20	humidity-2020-02-21	humidity-2020-02-22	humidity-2020-02-23	humidity-2020-02-24	humidity-2020-02-25	humidity-2020-02-26	humidity-2020-02-27	humidity-2020-02-28	humidity-2020-02-29	humidity-2020-03-01	humidity-2020-03-02	humidity-2020-03-03	humidity-2020-03-04	humidity-2020-03-05	humidity-2020-03-06	humidity-2020-03-07	humidity-2020-03-08	humidity-2020-03-09	humidity-2020-03-10	humidity-2020-03-11	humidity-2020-03-12	humidity-2020-03-13	humidity-2020-03-14	humidity-2020-03-15	humidity-2020-03-16	humidity-2020-03-17	humidity-2020-03-18	humidity-2020-03-19	humidity-2020-03-20	humidity-2020-03-21	humidity-2020-03-22	humidity-2020-03-23	humidity-2020-03-24	humidity-2020-03-25	humidity-2020-03-26	humidity-2020-03-27	humidity-2020-03-28	humidity-2020-03-29	humidity-2020-03-30	humidity-2020-03-31	humidity-2020-04-01	humidity-2020-04-02	humidity-2020-04-03	humidity-2020-04-04	humidity-2020-04-05	humidity-2020-04-06	humidity-2020-04-07	humidity-2020-04-08	humidity-2020-04-09	humidity-2020-04-10	humidity-2020-04-11	march_1_15_humidity	march_13_15_humidity	march_18_20_humidity	population_density	GDP_per_capita
Alabama	AL	33.65	-86.81	4903185	50645.33	232145	11.1416666666667	6.28333333333333	5.45	7.3125	11.8875	16.75	10.9625	6.60833333333333	6.42083333333333	9.91666666666667	10.2916666666667	14.525	18.8291666666667	15.6739130434783	12.7666666666667	12.3458333333333	9.53333333333333	11.7666666666667	14.7166666666667	16.8291666666667	16.0541666666667	19.5375	21.325	20.0666666666667	21.3166666666667	20.8333333333333	20.5333333333333	20.625	21.6333333333333	22.8125	20.4375	14.3458333333333	19.7958333333333	22.45	23.9791666666667	21.2625	22.6833333333333	24.125	23.6083333333333	19.375	18.075	13.3708333333333	14.1833333333333	15.9916666666667	18.9291666666667	21.175	20.5708333333333	21.3208333333333	21.6416666666667	22.45	18.4541666666667	13.9272727272727	15.7052053140097	20.9027777777778	21.6902777777778	87.5416666666667	62.5	54.8181818181818	65.5416666666667	68.875	82.1666666666667	80.5	49.25	59.5416666666667	50.8333333333333	65.5833333333333	72.8333333333333	90.75	97.304347826087	89.4583333333333	64.375	45.1666666666667	52.75	61.2916666666667	74.1666666666667	92.3333333333333	77.875	74.4583333333333	83.25	73.2083333333333	75.375	77.0833333333333	80.5833333333333	78.7083333333333	73.9583333333333	77.3333333333333	82	84.2083333333333	79.4583333333333	67.75	63.9166666666667	72.7916666666667	75.1666666666667	68.9583333333333	58.75	71.7916666666667	64.5416666666667	55.9583333333333	65.75	66.7083333333333	64.4583333333333	73.0833333333333	76.4166666666667	90.375	82.5833333333333	43.4583333333333	49.0454545454545	74.3202898550725	76.9722222222222	77.75	96.8141583834087	47345.7558709288
Alaska	AK	61.22	-149.9	731545	570640.95	55430	2.71666666666667	2.75833333333333	1.3875	1.21666666666667	-0.2375	-0.5375	1.65833333333333	4.02083333333333	3.59583333333333	1.65833333333333	1.64583333333333	2.92083333333333	2.15416666666667	1.03333333333333	0.8875	-2.8875	-3.94583333333333	0.125	1.625	1.46666666666667	0.0708333333333333	-5.3	-6.54166666666667	-3.575	-0.5875	-0.0416666666666668	-0.179166666666667	-0.0166666666666666	1.89583333333333	2.45833333333333	1.8	3.25416666666667	2.90833333333333	-0.762500000000001	-0.283333333333333	2.59583333333333	2.44583333333333	-1.80416666666667	-3.53333333333333	-4.36666666666667	-3.8	-3.5875	-1.67083333333333	-1.87083333333333	-1.96666666666667	0.141666666666667	3.79166666666667	1.94166666666667	2.025	3.58333333333333	1.56666666666667	1.6625	-0.727222222222222	-3.56805555555556	1.44583333333333	84.6666666666667	86.7083333333333	82.0833333333333	84.6666666666667	86.2916666666667	82.7916666666667	89.6666666666667	86.7083333333333	88.2083333333333	85.7083333333333	88.3333333333333	84.3333333333333	86.3333333333333	79.375	66.6666666666667	66.6666666666667	82.2916666666667	80.8333333333333	86.4583333333333	91.8333333333333	86.9583333333333	75.6666666666667	57.9166666666667	72.1666666666667	79.375	81.0416666666667	81.875	79.1666666666667	78.5833333333333	68.4583333333333	87.375	82.125	41.1666666666667	56.4166666666667	72.9166666666667	85.9166666666667	85.2916666666667	68.375	44.25	36.0833333333333	35.5416666666667	51.375	53.2083333333333	54.25	76.0416666666667	66.25	63.9583333333333	61.625	83.1666666666667	79.7916666666667	78	56.5416666666667	79.0138888888889	69.8194444444444	75.4027777777778	1.28197073834256	75771.1418983111
Arizona	AZ	33.45	-112.07	7278717	113594.08	368556	18.5166666666667	20.8291666666667	18.025	14.4208333333333	14.2791666666667	15.8333333333333	13.7416666666667	15.0916666666667	18.1291666666667	18.2791666666667	18.7708333333333	16.6958333333333	15.8291666666667	16.7583333333333	18.7916666666667	22.6291666666667	22.3875	21.0458333333333	18.3791666666667	20.4625	17.6416666666667	18.5375	15.4208333333333	14.3625	17.7083333333333	18.8416666666667	19.2625	16.8875	12.2958333333333	14.8375	17.5666666666667	17.8583333333333	19.7333333333333	18.8583333333333	19.3583333333333	18.7291666666667	15.1583333333333	14.3208333333333	17.4291666666667	18.6958333333333	19.7666666666667	21.9375	22.3875	21.5458333333333	21.925	22.6041666666667	22.0333333333333	21.5291666666667	22.425	17.0958333333333	18.4458333333333	19.0541666666667	18.3613888888889	15.8305555555556	14.6736111111111	33.3333333333333	29.1666666666667	60.9166666666667	61.875	63.1666666666667	39.9583333333333	16.5	31.0833333333333	31.9166666666667	36.3333333333333	32.3333333333333	37	48.0416666666667	44.0416666666667	42.7916666666667	25.375	30.75	26.4166666666667	43.2083333333333	44.2916666666667	85.6666666666667	87.4583333333333	76.625	72.7916666666667	58.2083333333333	51.5	46.5	52.9583333333333	68.125	48.7916666666667	42.6666666666667	42.5833333333333	43.5416666666667	44.0833333333333	40.1666666666667	35.2083333333333	30.7916666666667	37.25	34.4166666666667	28.7083333333333	36.25	35.9583333333333	29.5833333333333	29.5416666666667	28.625	23.25	22.7916666666667	26.4166666666667	32.125	42.5	31.9583333333333	35.4166666666667	50.3333333333333	69.2083333333333	56.625	64.0765522287781	50634.7478546013
Arkansas	AR	34.74	-92.33	3017804	52035.48	134022	5.59166666666667	1.55	3.24583333333333	7.475	12.9541666666667	11.3291666666667	6.18333333333333	3.99583333333333	8.09583333333333	10.3166666666667	14.0583333333333	16.8125	15.4833333333333	13.8375	13.0375	11.3625	9.6125	11.4041666666667	15.225	15.225	15.35	19.7875	15.3416666666667	9.98333333333333	8.54583333333333	7.85416666666667	10.7125	14.8875	20.2708333333333	18.5708333333333	9.2125	8.83333333333333	12.3166666666667	15.25	14.6625	20.0041666666667	23.3583333333333	22.5166666666667	16.4708333333333	15.0458333333333	13.3958333333333	14.5333333333333	16.9041666666667	16.9625	14.0083333333333	14.6041666666667	18.0291666666667	21	23.9041666666667	20.0083333333333	12.5	12.4708333333333	13.6711111111111	11.2902777777778	17.9097222222222	57	51	46.2083333333333	64.0416666666667	79.8333333333333	66.3333333333333	65.8333333333333	52.375	49.4583333333333	48.625	64.625	80.3333333333333	71.9166666666667	61.5416666666667	50.9166666666667	39.0416666666667	44.7083333333333	45.5416666666667	66.2916666666667	78.1666666666667	76	78.9583333333333	67.5416666666667	82.4166666666667	83.2916666666667	85.2916666666667	92.625	89.2083333333333	86.1666666666667	78.875	63.8333333333333	77.125	86.5833333333333	81.6666666666667	74.5833333333333	71.7916666666667	73.8333333333333	77.7083333333333	51.5833333333333	51.2083333333333	64.8333333333333	53.9166666666667	56.5416666666667	69.75	82.7916666666667	80.9166666666667	72	78.6666666666667	75	57	40.6666666666667	51.625	66.0861111111111	77.75	84.75	57.9951217899787	44410.4388489113
California	CA	34.05	-118.25	39512223	155779.22	3155224	11.2291666666667	13.0541666666667	13.9375	11.8958333333333	12.0416666666667	15.9666666666667	14.7916666666667	14.9041666666667	14.9	14.8875	11.1791666666667	13.8291666666667	14.7666666666667	15.2625	15.2875	13.0833333333333	11.275	10.425	12.6833333333333	14.0666666666667	16.2166666666667	15.9708333333333	14.8875	11.2541666666667	9.7875	7.10833333333333	7.50833333333333	9.35416666666667	8.2625	10.925	11.1666666666667	12.3833333333333	13.3166666666667	11.0625	9.51666666666667	8.3375	9.55833333333334	10.9708333333333	11.9458333333333	13.0833333333333	14.0333333333333	13.1041666666667	12.675	12.1583333333333	11.3916666666667	11.2791666666667	9.25833333333333	10.6958333333333	12.75	13.1166666666667	14.6291666666667	14.4458333333333	13.3316666666667	11.9763888888889	9.51388888888889	60.5833333333333	54.3333333333333	50.75	75.2083333333333	70.2083333333333	33.5416666666667	57.5	59.7083333333333	59.6666666666667	62.375	61.25	24.7916666666667	45.8333333333333	55.9583333333333	64.2916666666667	73.6666666666667	76.9166666666667	77.9583333333333	67.2083333333333	57.75	59.0833333333333	60.9166666666667	62.5416666666667	75.7916666666667	82.5833333333333	83	80.7916666666667	76.4166666666667	79	67.2083333333333	70.2916666666667	68.9583333333333	69.0416666666667	69.25	72.2083333333333	67.375	62.7083333333333	74.8333333333333	79.875	71.5	74.375	66.1666666666667	36.2083333333333	54.8333333333333	70.8333333333333	88.8333333333333	78.5416666666667	79.875	74.1666666666667	77.8333333333333	70.7083333333333	75.375	63.1027777777778	73.6388888888889	74.2083333333333	253.642449872326	79854.378226201
Colorado	CO	39.76	-104.88	5758736	103641.89	392348	-5.275	-1.13333333333333	4.4375	5.06666666666667	1.2375	-3.09583333333333	-5	1.55833333333333	4.10833333333333	6.27916666666667	6.45	2.46666666666667	4.14583333333333	6.38333333333333	7.19583333333333	6.97916666666667	10.6	11.9833333333333	8.75416666666667	8.825	8.48333333333333	9.77916666666667	3.8375	2.75416666666667	5.31666666666667	7.8875	7.33333333333333	9.64583333333333	6.49583333333333	-1.725	1.43333333333333	5.175	5.55	7.64583333333333	10.25	10.6666666666667	7.7625	2.24583333333333	3.3375	5.8375	8.475	12.3916666666667	7.95	-1.19166666666667	3.40833333333333	9.7875	13.575	14.3916666666667	13.7708333333333	11.8958333333333	11.2375	13.2875	6.93027777777778	3.96944444444444	4.80555555555556	63.4583333333333	35.7916666666667	34.5833333333333	50.625	58.7083333333333	51.1666666666667	47.7083333333333	37.5416666666667	32.75	29.2083333333333	35.5416666666667	58.4166666666667	35.75	28.75	26.625	35.0416666666667	28.25	29.4166666666667	49	42.5833333333333	41.9166666666667	39.8333333333333	58.25	64.0833333333333	58.0833333333333	49.7083333333333	51.125	46.25	67.125	78.4166666666667	59.4583333333333	54.125	45.7083333333333	50.25	34.375	30.125	48.2083333333333	69	40.7916666666667	46.7916666666667	42.2083333333333	31.375	48.9166666666667	56.9166666666667	43.7083333333333	38.7916666666667	30.25	21.0833333333333	22.0416666666667	31.4166666666667	39.6666666666667	30.375	42.1027777777778	60.1388888888889	63.9305555555556	55.56378796257	68130.9231748078
Connecticut	CT	41.19	-73.2	3565287	4842.36	287560	-1.1375	-4.1875	0.791666666666667	2.7125	6.13333333333333	8.51666666666667	7.93333333333333	6.99166666666667	0.479166666666667	-0.879166666666667	-2.6	3.68333333333333	10.9625	9.55	6.7	3.85416666666667	4.35416666666667	4.42083333333333	12.0833333333333	14.1833333333333	10.3583333333333	6.6625	9.58333333333333	7.79583333333333	6.575	2.545	4.10416666666667	7.73333333333333	6.34166666666667	9.81666666666667	9.64583333333334	2.07916666666667	1.35833333333333	5.05	4.15	6.34166666666667	11.8458333333333	7.375	7.70416666666667	6.42083333333333	6.1	5.83333333333333	8.425	8.17916666666667	9.78333333333333	10.8708333333333	10.75	13.7041666666667	11.0125	8.65416666666667	6.55	7.6375	7.21111111111111	7.98472222222222	7.96388888888889	43.7916666666667	39.0416666666667	36.2916666666667	54.5	52.7083333333333	66.5416666666667	86.3333333333333	68.7916666666667	35.25	42.5	43.125	53.375	67.7083333333333	58.375	46.875	60.875	41.0833333333333	35.9166666666667	34.5416666666667	44.6666666666667	50.5416666666667	55.5833333333333	77.5	42.8333333333333	43.1666666666667	34.5	75	46.4583333333333	75.3333333333333	84.375	48.6666666666667	32.0416666666667	65.25	71.9166666666667	69.2916666666667	59.4583333333333	51.9583333333333	55.125	90.375	80.75	66.625	60.2083333333333	50.9166666666667	74.6666666666667	69.625	66.5416666666667	59.5	28.875	63.9583333333333	79.9166666666667	52.5416666666667	40.7916666666667	50.4111111111111	54.5	68.7222222222222	736.270537506505	80655.4984213052
Delaware	DE	39.75	-75.55	973764	1948.54	75765	-18.1416666666667	-19.5458333333333	-27.2208333333333	-29.6333333333333	-22.3166666666667	-17.3416666666667	-25.5833333333333	-29.9	-30	-24.825	-26.9041666666667	-25.7458333333333	-29.6875	-31.6833333333333	-27.6791666666667	-22.2375	-17.4958333333333	-24.9583333333333	-28.3541666666667	-27.2	-26.0166666666667	-17.5208333333333	-5.4125	-2.93333333333333	-4.425	-1.8875	-1.6875	-3.725	-1.11666666666667	-0.279166666666667	-2.725	-15.625	-6.47916666666667	-2.37916666666667	-3.93333333333333	-15.7166666666667	-17.6625	-16.4333333333333	-20.3791666666667	-14.2583333333333	-9.2375	-8.76666666666667	-5.77083333333333	-4.87916666666667	-0.975	-2.11818181818182	-13.5458333333333	-18.1291666666667	-17.1208333333333	-17.8375	-12.3416666666667	-2.24	-21.2169444444444	-4.25694444444444	-1.70694444444444	82.3333333333333	80.4166666666667	77.5	75.4166666666667	79	77.75	77.625	75.5833333333333	76.5	76.25	74.4166666666667	70.5833333333333	76.15	75.1052631578947	74.625	70.1666666666667	66.375	75.75	75.75	75.0833333333333	77.375	79.3333333333333	81.0833333333333	89.2916666666667	86.4583333333333	95.5	88.25	93	90.5833333333333	91.75	90.2916666666667	81.4166666666667	88.3333333333333	85.9166666666667	88.7083333333333	75.0416666666667	61.7083333333333	56.5	67.1666666666667	61.75	61.7083333333333	68.4583333333333	79.75	85.4583333333333	96.6666666666667	91.7727272727273	83.75	80.9166666666667	78.0833333333333	78.7916666666667	78	84	76.5031286549708	85.6111111111111	91.7777777777778	499.740318392232	77806.3267896534
Florida	FL	30.34	-81.66	21477737	53624.76	1100721	19.4625	8.82083333333333	7.54583333333333	9.00833333333333	15.2375	19.0708333333333	18.2541666666667	9.57916666666667	6.61666666666667	10.7375	10.225	13.9541666666667	20.7333333333333	22.5875	21.0166666666667	15.95	12.5	11.4375	16.7583333333333	18.35	18.8458333333333	18.8375	20.1291666666667	20.7	21.3958333333333	22.0666666666667	21.45	22.9666666666667	21.8416666666667	21.9708333333333	22.4208333333333	23.4	21.4125	22.6791666666667	24.7958333333333	24.2833333333333	22.775	23.5	24.6583333333333	23.6541666666667	22.8041666666667	16.6291666666667	15.2083333333333	16.6625	19.5291666666667	20.925	20.55	21.6291666666667	24.6375	27.5125	21.9208333333333	16.6041666666667	17.5613888888889	20.7416666666667	22.2597222222222	81.2083333333333	70.125	50	59.625	74.1666666666667	92.2916666666667	90.4583333333333	55.0833333333333	62.2916666666667	55.2083333333333	57.7083333333333	67.5	80	87.7083333333333	88.75	63.4166666666667	35.9166666666667	59.2916666666667	60.9166666666667	68.2083333333333	78.2916666666667	80.4583333333333	81.875	71	64.5416666666667	67.7916666666667	79.75	78.125	78.0833333333333	74	76.8333333333333	74.625	76.375	74.7916666666667	70.625	68.2916666666667	78.4583333333333	78.25	76.7916666666667	69.5416666666667	83.125	53.3333333333333	59.6666666666667	61.4166666666667	60.5	64.25	69.7916666666667	68.8333333333333	75.7083333333333	66.5	63.25	44.3333333333333	69.7055555555555	72.4722222222222	76.7361111111111	400.519032625974	51249.3937326824
Georgia	GA	33.76	-84.39	10617423	57513.49	619818	7.20416666666667	4.09583333333333	3.9875	5.88333333333333	8.72916666666667	12.1166666666667	10.6125	4.48333333333333	4.23333333333333	6.33333333333333	7.175	11.2791666666667	16	14.3083333333333	10.9375	9.80833333333333	6.7625	7.64583333333333	10.6416666666667	14.8958333333333	15.3083333333333	17.5	20.0291666666667	18.5666666666667	16.4791666666667	13.2708333333333	13.3583333333333	16.7583333333333	19.475	21.525	18.3083333333333	12.8291666666667	12.3375	16.9166666666667	18.6541666666667	15.8333333333333	19.9083333333333	22.5916666666667	23.0916666666667	19.3041666666667	15.1625	10.025	10.8708333333333	14.6083333333333	17.2458333333333	18.0875	19	20.2583333333333	19.8166666666667	20.9958333333333	14.8375	11.9041666666667	13.1558333333333	18.3583333333333	19.2527777777778	87.7916666666667	72.125	64.5	64.3333333333333	78.8333333333333	84.9166666666667	77.6666666666667	53.5833333333333	57.5833333333333	58.2916666666667	54.5833333333333	64.2916666666667	88.5833333333333	90.4583333333333	91.375	67.5833333333333	47.5	60.5833333333333	61.9166666666667	73.5416666666667	85.0833333333333	85.8333333333333	72.125	64.5	73.125	82.7916666666667	84.2083333333333	82.0416666666667	77.5	69.5416666666667	76.625	75.4583333333333	89.875	89.4583333333333	75.9166666666667	70.0833333333333	66.1666666666667	67.375	59.625	38.4583333333333	59.0416666666667	61.125	59.25	51.1666666666667	50.7916666666667	58.875	63.2916666666667	68.2083333333333	79.4583333333333	71	33.3333333333333	48	72.0722222222222	69.9166666666667	76.3611111111111	184.607524252136	58377.4424358905
