name,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23
Alabama,87.54166666666667,62.5,54.81818181818182,65.54166666666667,68.875,82.16666666666667,80.5,49.25,59.541666666666664,50.833333333333336,65.58333333333333,72.83333333333333,90.75,97.30434782608695,89.45833333333333,64.375,45.166666666666664,52.75,61.291666666666664,74.16666666666667,92.33333333333333,77.875,74.45833333333333,83.25,73.20833333333333,75.375,77.08333333333333,80.58333333333333,78.70833333333333,73.95833333333333,77.33333333333333,82.0,84.0
Alaska,84.66666666666667,86.70833333333333,82.08333333333333,84.66666666666667,86.29166666666667,82.79166666666667,89.66666666666667,86.70833333333333,88.20833333333333,85.70833333333333,88.33333333333333,84.33333333333333,86.33333333333333,79.375,66.66666666666667,66.66666666666667,82.29166666666667,80.83333333333333,86.45833333333333,91.83333333333333,86.95833333333333,75.66666666666667,57.916666666666664,72.16666666666667,79.375,81.04166666666667,81.875,79.16666666666667,78.58333333333333,68.45833333333333,87.375,82.125,39.833333333333336
Arizona,33.333333333333336,29.166666666666668,60.916666666666664,61.875,63.166666666666664,39.958333333333336,16.5,31.083333333333332,31.916666666666668,36.333333333333336,32.333333333333336,37.0,48.041666666666664,44.041666666666664,42.791666666666664,25.375,30.75,26.416666666666668,43.208333333333336,44.291666666666664,85.66666666666667,87.45833333333333,76.625,72.79166666666667,58.208333333333336,51.5,46.5,52.958333333333336,68.125,48.791666666666664,42.666666666666664,42.583333333333336,43.083333333333336
Arkansas,57.0,51.0,46.208333333333336,64.04166666666667,79.83333333333333,66.33333333333333,65.83333333333333,52.375,49.458333333333336,48.625,64.625,80.33333333333333,71.91666666666667,61.541666666666664,50.916666666666664,39.041666666666664,44.708333333333336,45.541666666666664,66.29166666666667,78.16666666666667,76.0,78.95833333333333,67.54166666666667,82.41666666666667,83.29166666666667,85.29166666666667,92.625,89.20833333333333,86.16666666666667,78.875,63.833333333333336,77.125,86.58333333333333
California,60.583333333333336,54.333333333333336,50.75,75.20833333333333,70.20833333333333,33.541666666666664,57.5,59.708333333333336,59.666666666666664,62.375,61.25,24.791666666666668,45.833333333333336,55.958333333333336,64.29166666666667,73.66666666666667,76.91666666666667,77.95833333333333,67.20833333333333,57.75,59.083333333333336,60.916666666666664,62.541666666666664,75.79166666666667,82.58333333333333,83.0,80.79166666666667,76.41666666666667,79.0,67.20833333333333,70.29166666666667,68.95833333333333,68.04166666666667
Colorado,63.458333333333336,35.791666666666664,34.583333333333336,50.625,58.708333333333336,51.166666666666664,47.708333333333336,37.541666666666664,32.75,29.208333333333332,35.541666666666664,58.416666666666664,35.75,28.75,26.625,35.041666666666664,28.25,29.416666666666668,49.0,42.583333333333336,41.916666666666664,39.833333333333336,58.25,64.08333333333333,58.083333333333336,49.708333333333336,51.125,46.25,67.125,78.41666666666667,59.458333333333336,54.125,45.708333333333336
Connecticut,43.791666666666664,39.041666666666664,36.291666666666664,54.5,52.708333333333336,66.54166666666667,86.33333333333333,68.79166666666667,35.25,42.5,43.125,53.375,67.70833333333333,58.375,46.875,60.875,41.083333333333336,35.916666666666664,34.541666666666664,44.666666666666664,50.541666666666664,55.583333333333336,77.5,42.833333333333336,43.166666666666664,34.5,75.0,46.458333333333336,75.33333333333333,84.375,48.666666666666664,32.041666666666664,66.79166666666667
Delaware,82.33333333333333,80.41666666666667,77.5,75.41666666666667,79.0,77.75,77.625,75.58333333333333,76.5,76.25,74.41666666666667,70.58333333333333,76.15,75.10526315789474,74.625,70.16666666666667,66.375,75.75,75.75,75.08333333333333,77.375,79.33333333333333,81.08333333333333,89.29166666666667,86.45833333333333,95.5,88.25,93.0,90.58333333333333,91.75,90.29166666666667,81.41666666666667,87.875
Hawaii,70.88888888888889,71.61904761904762,68.6842105263158,71.72727272727273,68.70833333333333,72.625,70.04166666666667,67.45833333333333,64.31818181818181,68.41666666666667,69.31818181818181,66.0,74.2,73.375,74.79166666666667,70.5,61.166666666666664,51.0,59.916666666666664,60.75,67.04166666666667,73.75,71.54166666666667,71.25,70.0,78.41666666666667,74.45833333333333,76.875,77.95833333333333,79.375,78.25,69.83333333333333,65.88888888888889
Florida,81.20833333333333,70.125,50.0,59.625,74.16666666666667,92.29166666666667,90.45833333333333,55.083333333333336,62.291666666666664,55.208333333333336,57.708333333333336,67.5,80.0,87.70833333333333,88.75,63.416666666666664,35.916666666666664,59.291666666666664,60.916666666666664,68.20833333333333,78.29166666666667,80.45833333333333,81.875,71.0,64.54166666666667,67.79166666666667,79.75,78.125,78.08333333333333,74.0,76.83333333333333,74.625,75.375
