name,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
Mississippi,7.720833333333331,4.145833333333333,4.566666666666667,9.370833333333334,13.445833333333335,14.170833333333333,10.458333333333334,5.8875,6.804166666666668,10.770833333333334,13.258333333333335,17.874999999999996,20.79166666666667,16.370833333333334,13.329166666666666,12.533333333333337,10.387499999999998,13.375000000000002,16.462500000000002,19.441666666666663,20.962500000000006,21.875000000000004,21.362499999999997,20.39166666666667,20.533333333333335,16.77916666666667,20.391666666666666,22.425,23.89999999999999,22.6875,14.51666666666666,14.933333333333332,21.366666666666664,21.85416666666667,21.73333333333333,21.691666666666666,24.429166666666664,25.17916666666666,21.05,18.408333333333328,17.241666666666667,13.858333333333334,16.287499999999998,18.691666666666663,17.52916666666666,19.470833333333335,20.883333333333336,22.63333333333333,24.712500000000002,24.462500000000002,18.07083333333333,14.920833333333334
Missouri,-0.8083333333333336,-3.370833333333333,2.8833333333333333,9.866666666666665,8.900000000000004,4.208333333333333,1.679166666666667,0.9083333333333332,3.679166666666667,4.116666666666666,12.550000000000002,10.862499999999997,9.166666666666666,9.629166666666668,8.0375,7.191666666666666,6.366666666666667,13.629166666666665,14.679166666666667,7.0,8.520833333333334,11.141666666666664,8.6125,5.791666666666669,3.3083333333333336,4.495833333333332,7.616666666666666,10.570833333333331,16.366666666666664,11.458333333333334,2.270833333333333,3.7666666666666675,5.800000000000001,6.674999999999998,9.258333333333331,16.695833333333336,18.483333333333334,21.766666666666666,15.416666666666664,12.237499999999997,14.954166666666664,12.366666666666669,16.779166666666665,14.583333333333334,3.3333333333333335,7.266666666666666,14.3125,22.162499999999998,23.224999999999998,13.987500000000004,7.250000000000001,13.016666666666666
Montana,-5.995833333333333,-2.5958333333333337,1.8541666666666667,2.5875,1.575,-1.8958333333333333,2.2708333333333335,5.0249999999999995,5.208333333333335,3.775,1.3416666666666668,1.8749999999999998,6.4375,7.062499999999999,1.6416666666666666,8.0125,8.750000000000002,3.7916666666666665,3.466666666666667,2.958333333333334,7.891666666666667,-0.4166666666666669,-2.404166666666667,-12.950000000000001,-16.39166666666667,-9.729166666666664,-5.862500000000001,-2.125,-1.7583333333333335,-2.1541666666666663,2.879166666666667,4.308333333333334,5.366666666666667,6.2124999999999995,4.572222222222223,2.3555555555555556,5.912500000000001,5.824999999999999,4.933333333333333,7.566666666666666,3.9874999999999994,-6.383333333333333,-7.974999999999998,-0.8624999999999998,2.3625,3.6041666666666665,8.729166666666668,10.029166666666667,6.0625,7.875000000000001,11.658333333333331,1.9500000000000004
Nebraska,-10.029166666666667,-1.3833333333333337,3.7875,5.191666666666666,3.7416666666666667,1.5333333333333332,-0.8999999999999999,-0.27500000000000013,3.129166666666667,3.6999999999999997,7.7749999999999995,3.079166666666666,6.566666666666667,9.104166666666668,9.204166666666666,2.8375,10.295833333333333,14.879166666666663,6.129166666666664,-0.07500000000000014,5.291666666666667,12.304166666666667,2.425,1.2750000000000001,0.38333333333333336,1.925,3.3874999999999997,7.550000000000001,10.004166666666665,-2.7125,-1.2958333333333332,2.6666666666666665,6.191666666666667,8.716666666666667,9.845833333333333,7.708333333333333,8.529166666666665,8.695833333333335,8.716666666666667,9.658333333333331,13.395833333333334,14.758333333333328,10.2375,-2.5333333333333337,0.9208333333333331,4.729166666666667,14.212499999999999,17.787499999999998,15.658333333333333,7.474999999999999,2.5416666666666665,10.558333333333332
Nevada,1.7916666666666667,3.875,5.958333333333333,5.833333333333333,4.666666666666667,3.9583333333333335,5.083333333333333,7.416666666666667,7.125,10.875,2.125,-2.0,3.5416666666666665,7.125,9.041666666666666,11.708333333333334,10.625,2.3076923076923075,,,,14.0,9.5,8.625,3.4583333333333335,2.375,1.391304347826087,2.0833333333333335,0.4166666666666667,1.5833333333333333,4.041666666666667,4.958333333333333,5.416666666666667,7.541666666666667,2.875,1.25,3.2,3.888888888888889,7.5,7.083333333333333,11.041666666666666,10.916666666666666,4.125,5.083333333333333,7.166666666666667,7.166666666666667,3.2916666666666665,6.791666666666667,9.875,10.916666666666666,7.083333333333333,11.458333333333334
New Hampshire,-6.245833333333336,-9.108333333333333,-4.2875,-0.7291666666666665,0.754166666666667,2.8416666666666663,3.4499999999999997,3.3333333333333335,-2.0458333333333334,-3.5500000000000007,-5.579166666666667,-1.5791666666666668,7.5,7.1916666666666655,5.087500000000001,0.11666666666666677,1.2041666666666664,1.8999999999999997,7.316666666666666,9.183333333333332,7.487499999999998,1.4624999999999997,5.283333333333332,5.895833333333333,3.2916666666666674,-2.8249999999999997,-0.18750000000000008,5.304166666666667,3.766666666666667,6.391666666666667,6.695833333333332,-1.5541666666666671,-1.558333333333333,2.35,2.1,3.9458333333333333,8.591666666666667,4.9875,5.279166666666666,2.8458333333333328,3.5416666666666665,2.029166666666667,4.675,5.916666666666668,8.125000000000002,7.454166666666666,9.395833333333334,6.875,7.545833333333333,4.895833333333334,3.7500000000000004,4.833333333333333
New Jersey,5.551115123125783e-17,-2.983333333333334,1.0916666666666666,4.320833333333334,6.416666666666667,8.608333333333338,7.925000000000002,5.0375000000000005,0.5458333333333334,-0.5375,-0.10416666666666659,5.783333333333334,11.225000000000001,9.654166666666667,7.870833333333334,3.4500000000000006,3.9583333333333326,4.841666666666667,11.066666666666668,13.479166666666666,11.329166666666666,6.783333333333334,12.733333333333334,10.287499999999998,7.820833333333332,4.4,6.424999999999998,8.308333333333334,7.320833333333334,13.379166666666665,12.162500000000001,4.012499999999999,3.4499999999999997,6.2124999999999995,6.3041666666666645,6.6875,13.016666666666667,9.366666666666669,8.395833333333334,9.049999999999999,6.791666666666664,6.7541666666666655,8.083333333333334,10.133333333333331,10.545833333333336,11.399999999999999,13.566666666666665,12.233333333333333,15.12083333333333,10.895833333333336,6.7583333333333355,7.129166666666666
New Mexico,1.4000000000000001,-0.6124999999999999,3.6374999999999997,4.4125000000000005,2.6833333333333336,-0.18749999999999986,-4.308333333333334,1.229166666666667,4.216666666666666,5.233333333333333,6.087500000000001,5.045833333333333,4.158333333333334,5.191666666666666,7.425,8.358333333333333,7.733333333333334,9.466666666666667,6.854166666666665,7.716666666666666,9.862499999999999,10.441666666666666,8.704166666666666,5.829166666666667,8.470833333333335,8.799999999999999,10.254166666666666,7.404166666666665,5.004166666666667,3.1458333333333326,4.654166666666668,5.533333333333335,9.033333333333333,8.329166666666666,9.208333333333334,13.016666666666666,10.304166666666667,3.416666666666666,4.9750000000000005,9.2125,8.004166666666668,13.075000000000001,12.566666666666665,10.154166666666667,8.308333333333332,11.483333333333333,11.920833333333334,12.987500000000002,11.912500000000001,13.662500000000001,12.566666666666663,11.141666666666666
North Carolina,4.0541666666666645,-0.05416666666666664,1.1625000000000003,6.574999999999999,9.716666666666667,12.308333333333332,14.758333333333335,8.725000000000001,4.5375,4.916666666666667,4.504166666666667,11.591666666666669,14.787499999999996,12.424999999999999,10.424999999999997,8.933333333333332,7.479166666666664,6.645833333333333,11.3375,16.516666666666662,17.150000000000002,16.17083333333333,19.858333333333338,16.966666666666665,13.595833333333337,9.991666666666669,12.558333333333335,13.125,19.57083333333333,23.64999999999999,20.137500000000006,11.208333333333336,8.625000000000004,10.83333333333333,10.608333333333333,10.504166666666668,16.870833333333334,23.433333333333337,24.89583333333333,22.054166666666664,14.233333333333334,9.370833333333334,11.579166666666667,14.229166666666666,13.754166666666668,14.987499999999999,18.3125,18.76666666666667,21.545833333333334,18.508333333333336,14.337499999999999,10.304166666666667
North Dakota,-15.466666666666663,-2.9666666666666672,-2.6583333333333323,1.8583333333333332,-0.8791666666666663,-2.695833333333333,-6.262499999999999,-4.395833333333333,0.17916666666666659,1.3833333333333335,1.3833333333333335,-1.4708333333333334,1.9625000000000001,2.8000000000000003,2.850000000000001,1.0166666666666668,3.879166666666667,0.45416666666666655,-3.7750000000000004,-0.9624999999999998,2.8041666666666667,3.491666666666665,-2.458333333333334,-5.133333333333334,-3.254166666666665,-2.091666666666667,-3.0250000000000004,1.3125000000000007,-5.949999999999999,-9.008333333333335,-3.0916666666666663,-0.6541666666666667,3.0916666666666663,6.408333333333334,1.4291666666666663,0.2041666666666666,5.241666666666667,5.1499999999999995,6.066666666666666,7.541666666666667,9.862499999999999,3.708333333333334,-8.016666666666671,-7.437500000000003,-6.037499999999999,0.4708333333333335,5.620833333333333,9.366666666666665,7.062500000000001,0.5125000000000002,3.6750000000000007,4.625
